scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
603041,美思德,0.2,"""-""",82857255.07,13.4392393,17446513.45,-8.46394187,49.5014,3.23,6.72280199,-0.01864109,38.10849907,化工行业
603096,新经典,0.46,0.44,197097893.5,5.74745173,45753699.4,33.25719479,26.27,6.65,7.10465235,-0.14698793,44.47406548,文化传媒
2853,皮阿诺,0.18,"""-""",105402210.7,51.23108257,8208160.76,304.4573077,-80.7692,2.13,13.4338695,-0.75311901,33.44045479,木业家具
603039,泛微网络,0.17,"""-""",107222244.1,46.22184138,11576642.17,38.50056676,-58.3138,2.85,7.7733579,-0.32939208,92.6833214,软件服务
603637,镇海股份,0.01,"""-""",44254272.05,-46.65135237,942323.2,-51.64873101,-91.9683,0.16,6.80067537,0.05743174,10.62706962,工程建设
832031,嘉银金科,0.18,"""-""",185218736.8,33.72160891,9017217.95,-3.05447204,-79.6504,5.08,3.63707531,-2.79448789,46.00732497,-
831321,顺电股份,0.07,"""-""",742157098,6.94713654,9629904.04,289.4390612,-59.2539,2.14,3.41627703,-0.25995452,15.86776242,-
300567,精测电子,0.27,"""-""",126634056.2,68.80403184,21783332.87,3320.617609,-55.2141,3.03,9.14448352,-1.07800383,46.97983884,专用设备
601163,三角轮胎,0.2,"""-""",2159655351,36.30869414,156869235.7,-2.62799045,-39.1159,1.98,9.99855547,-0.63723793,18.13134671,塑胶制品
603299,井神股份,0.051,"""-""",594768756,14.34610198,28646353.06,354.9744414,59.3113,1.45,3.56195554,0.0755637,30.59884458,化工行业
2828,贝肯能源,-0.08,"""-""",4612063.54,32.98373261,-8908741.16,15.73974786,-134.0732,-1.07,7.08245666,0.38423256,20.87232736,石油行业
603508,思维列控,0.26,"""-""",110465359,-33.50766754,41708637.83,-11.71305074,-47.8731,1.69,15.56762664,0.54539717,58.24610418,电子信息
2793,东音股份,0.25,"""-""",190049184.5,35.19489426,24660054.05,58.77204564,-2.3568,3.47,7.22993624,-0.39873322,28.86901978,机械行业
2821,凯莱英,0.43,"""-""",290097601.3,55.39731399,49088603.64,49.49929397,-23.4275,2.76,16.03615601,1.36698604,48.326621,医疗行业
603421,鼎信通讯,0.16,"""-""",194946445.5,14.90086378,69698089.53,3388.378964,-35.4062,3.53,4.63023382,-0.12146022,74.00010557,通讯行业
2775,文科园林,0.0432,"""-""",288988074.8,60.6023285,10722991.69,44.20760037,-71.7865,0.87,5.02122664,-0.88953254,16.23774203,园林工程
2791,坚朗五金,0.01,"""-""",532810684.3,16.85559326,2794286.84,315.8674452,-95.9321,0.11,11.57668493,-0.85152629,37.38010216,金属制品
601198,东兴证券,0.11,"""-""",720592142.4,6.79082569,302451040.4,8.46032132,18.174,1.63,6.78550899,0.57242022,"""-""",券商信托
2843,泰嘉股份,0.0832,"""-""",74130651.58,29.44792885,10677187.82,3.97934041,-14.1706,2.03,4.2118541,0.07291814,40.34155662,金属制品
2830,名雕股份,-0.26,"""-""",100175558.8,8.33760687,-17571309.79,4.11349615,-152.9634,-3.14,8.27214328,-0.36903701,13.7496451,装修装饰
2778,高科石化,0.0904,"""-""",134978395.5,11.31134733,8054816.61,-21.13832412,-9.0137,1.34,6.76959994,-0.5832071,14.52843339,石油行业
2694,顾地科技,-0.05,"""-""",305934953.1,3.70932203,-18357903.2,-52.95096715,-173.3654,-1.42,3.85597291,-0.30915367,17.88448783,塑胶制品
2670,国盛金控,0.0375,"""-""",578918687.1,226.5484419,35064675.89,388.2150813,-86.8032,0.3,12.36919487,0.77183786,14.02707155,券商信托
