scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
300681,英搏尔,1.15,1.01,407600208.3,-4.34423982,65375179.98,-29.15880083,196.4799,27.91,4.70814032,0.51809821,28.39534389,机械行业
300656,民德电子,1.0291,0.91,121824623.3,-2.98811802,46309437.51,1.71373538,42.5203,32.32,3.69866149,0.89574828,49.38281645,电子信息
300715,凯伦股份,0.745,0.73,268969387.1,23.34961424,40236957.94,41.0573332,60.944,30.32,2.83007192,0.00627055,44.61509763,水泥建材
836092,乐普基因,0.01,0.01,103271477.2,83.9269665,1182943.91,-65.52089862,"""-""",2.18,1.07,-0.00327583,42.52923516,-
835443,博海新材,-0.14,-0.215,8712677.15,-43.16149869,-3055781.62,-11.0299965,"""-""",-14.83,0.91,-0.11717641,0.25430507,-
835292,ST众鼎,-0.14,-0.6197,8017840.59,-41.19796848,-1107677.97,-172.2247383,"""-""",-13.75,0.94,0.33938316,50.21483958,-
835111,万联网络,0.14,0.05,11468746.61,0.35028325,1693720.53,226.5247104,"""-""",13.54,1.09,-0.07550514,67.4382186,-
834624,天涯泰盟,0.03,-0.0929,15983131.45,16.94797215,149405.3,112.8882267,"""-""",2.77,1.09,0.07530407,17.23608561,-
834098,慧尔股份,0.4,0.36,209347738.1,-9.14511666,23085650.74,7.48636866,"""-""",11.68,3.61,0.32630127,36.50266731,-
833938,天狐创意,-0.19,-0.2389,39927147.35,-32.4804789,-5779169.88,-280.1098831,"""-""",-12.08,1.45,-0.31780481,38.84766744,-
300584,海辰药业,0.7539,0.73,280827571.2,27.07505232,45236377.77,12.16847039,40.5008,17.77,4.60189184,0.62896318,67.52371222,医药制造
833510,三宝云母,0.07,0.11,20120849.73,11.98737343,673328.18,-84.76370396,"""-""",3.56,1.93,0.09528455,39.80212937,-
831203,瑞纽机械,0.08,0.05,124671617.7,40.88270772,5015674.75,-55.97540717,"""-""",3.27,2.56,-0.23508587,31.5506713,-
831377,有友食品,0.54,0.53,827161248.7,10.03638634,122498284.4,13.56480845,"""-""",24.52,2.45,0.77673688,32.9906229,-
430674,巴兰仕,0.73,0.72,442406266.9,31.40605013,43994014.43,54.41827991,"""-""",36.44,2.28,0.29358917,26.43085991,-
2649,博彦科技,0.233,0.7,1933996051,12.56668571,117179840.8,-35.23161466,-99.774,6.07,10.53594443,1.0082841,29.60487333,软件服务
872751,嘉欣医疗,0.0663,-0.06,77482654.07,67.38258349,1656492.83,390.7379986,"""-""",5.82,1.01,0.43,27.78674419,-
872536,浩天新杰,0.79,0.79,11386052.2,212.13981,396172.06,2007.607606,"""-""",85.27,1.33,1.75736924,27.17327179,-
871186,中御建设,0.15,0.15,82346801.52,53.22785387,2960063.74,46.4691004,"""-""",15.56,1.03,-0.67623752,25.59690859,-
839730,拓实瑞丰,0.12,0.13,16276256.96,55.42702723,1494502.36,4.68698696,"""-""",9.76,1.35,-0.15442328,27.78519798,-
870868,城乡建设,0.03,0.04,10666889.87,-0.26553055,301897.72,38.12465563,"""-""",2.75,1.13,-0.04142854,34.54186989,-
838724,精密科技,0.34,"""-""",311616750.3,9.60358633,33685134.14,27.68523952,"""-""",23.69,1.59,0.46892085,24.57839814,-
838317,明宇科技,0.15,0.14,62162765.46,60.99118581,6376231.37,41.72250313,"""-""",11.99,1.33,0.07888569,31.33933725,-
838276,七彩化学,0.95,0.94,441979885.4,19.60917626,75669939.19,94.89490096,"""-""",18.87,4.48,0.91457775,34.90872731,-
837570,东白股份,-0.0437,-0.0581,10584825.63,-9.19427169,-3059871.68,-1277.345515,"""-""",-4.18,1.02,0.11883263,7.43029529,-
837347,三清国旅,0.11,0.03,84620678.26,30.6958196,1099237.54,-42.04669113,"""-""",8.66,1.2,-0.12670839,10.65008977,-
836942,恒立钻具,0.31,0.224,77105417.26,2.91054537,7471598.75,282.5878949,"""-""",17.06,1.98,0.0175297,35.5428219,-
836808,毅达环保,0.59,0.4923,14147843.79,16.23600067,5865741.56,-10.10471368,"""-""",28.59,2.34,0.5753406,61.51728171,-
600346,恒力股份,0.45,0.42,19239958376,3.95918008,1179834272,91.57604941,154.8326,22.76,2.07374064,0.25834897,13.46007902,化纤行业
600338,西藏珠峰,0.9958,0.9776,1476755188,-0.98519005,650257020.7,306.3121312,8.4061,66.21,1.98728135,0.88701318,70.09964702,有色金属
910,大亚圣象,1.02,1.02,6531376107,-14.91950296,541118174.2,70.21791068,45.1562,21.22,5.47091944,1.95144452,33.94933644,木业家具
600378,天科股份,0.09,0.08,391544815.9,-17.32751627,27111197.7,-37.26158724,544.228,3.66,2.5097488,0.12777249,27.71552166,化工行业
600207,安彩高科,0.0125,0.0092,1871466473,5.82391911,9541634.39,-48.70059582,1970.4997,0.71,2.19874703,0.10717105,13.15885199,玻璃陶瓷
600197,伊力特,0.6277,0.5824,1692945216,3.38380443,276801251.9,-1.81839813,-51.4809,14.9,4.35914307,1.32976747,50.21067144,酿酒行业
26,飞亚达A,0.2522,0.2215,2993864561,-5.32325131,110662681.6,-9.07082105,-95.1025,4.74,5.40489619,1.03877929,40.78517309,珠宝首饰
200026,飞亚达B,0.2522,0.2215,2993864561,-5.32325131,110662681.6,-9.07082105,-95.1025,4.74,5.40489619,1.03877929,40.78517309,珠宝首饰
603303,得邦照明,1.0416,0.9678,3225519511,-0.14263039,318720957.8,-6.58599493,19.8991,28.55,6.63696022,0.4367062,20.79082901,电子元件
300557,理工光科,0.99,0.8,207699537.7,13.06989303,43575427.48,14.36015294,267.6261,14.3,8.39300337,0.50863276,42.94597665,仪器仪表
601137,博威合金,0.37,0.24,4242676969,29.74924234,183350419.1,113.4486754,-78.6415,7.19,4.98224784,0.50053791,12.76272372,有色金属
2379,宏创控股,0.0153,0.0153,977120506,-36.06260048,14150607.32,111.9529878,2785.273,1.18,1.3036346,-0.20730949,2.28387372,材料行业
2286,保龄宝,0.13,0.11,1377424259,15.14213272,49342743.68,20.50688987,-4.0542,3.32,4.07666221,0.29514379,14.93506839,食品饮料
2056,横店东磁,0.27,0.43,4710421227,19.00147284,441183781.5,36.51596043,28.1773,11.81,4.82447311,1.14241248,24.89898905,电子元件
514,渝开发,0.1454,-0.0328,682625574.6,-40.90026615,122661482.5,1564.146771,1893.1034,4.28,3.46944324,0.25748952,34.96737047,房地产
739,普洛药业,0.23,0.18,4772188879,10.01045594,262897084.4,26.25303882,54.8885,10.45,2.28142307,0.15731506,27.82569724,医药制造
600985,雷鸣科化,0.34,0.3,835854094.9,-7.55334352,90062230.64,-22.50802715,-90.4294,7.86,4.71506413,0.84876013,43.76175521,化工行业
799,酒鬼酒,0.3342,0.3157,654850628.8,8.91948039,108584368.3,22.59780486,60.888,6,5.74066537,0.67494092,74.99208999,酿酒行业
779,三毛派神,0.0704,-0.39,248899773.7,20.286351,13141277.82,116.6213208,514.8012,6.19,1.17374343,0.15521353,7.81923172,纺织服装
834563,丰盛光电,0.35,0.32,490807543.1,1.81364098,27680007.08,30.23805369,"""-""",11.99,2.97,0.6885811,16.58724767,-
834194,实邑科技,0.31,0.2316,35134980.65,59.39906165,10977759.62,7.82053913,"""-""",16.51,2.06,0.46900296,48.69193924,-
832899,景津环保,0.44,0.49,1544300894,-2.45919393,159744960.1,12.01393951,"""-""",10.17,5.05,1.12233773,37.22529164,-
603138,海量数据,0.5064,0.48,470277212.4,20.21729189,43604936.54,20.5760553,-3.0978,29.37,2.69778744,0.71206886,20.52078369,软件服务
832263,美亚高新,0.22,0.1,102649822,-52.00744976,10258916.46,-65.25889578,"""-""",6.75,2.99,0.91859843,25.6138614,-
831274,瑞可达,0.57,0.55,307509522.6,61.59154455,41862062.36,13.45510175,"""-""",17.08,4.5,-0.59204304,36.16346736,-
830953,惠当家,-0.07,-0.09,6026651.78,-38.54758662,-894580.75,-150.6701782,"""-""",-5.22,1.28,0.09962643,32.24896047,-
300545,联得装备,0.66,0.56,256175730.4,2.2784114,38432239.26,-25.11103596,128.1394,13.23,6.50669111,-0.04678026,29.90730708,电子元件
300559,佳发安泰,1.09,0.99,165733894.7,11.59012801,61776557.11,7.28646407,113.8114,19.45,8.1136116,0.93559826,55.34985991,软件服务
603518,维格娜丝,0.68,0.49,744317187.6,-9.70879817,100327922.1,-10.51186779,-14.7936,7.08,9.86435526,0.52400193,70.23585879,纺织服装
795,英洛华,0.03,-0.03,1651054266,4.34836342,34580814.84,664.6379814,-141.9677,2.03,1.73759091,0.12442387,18.91636281,材料行业
300239,东宝生物,0.0417,0.0268,316593978.9,8.45375823,19226957.17,226.4569355,31.7136,2.7,1.55977528,0.08795811,20.487397,医药制造
2680,长生生物,0.4383,0.4117,1017909720,27.95593401,424867493.6,44.97633574,16.0382,12.15,3.67765884,0.30588192,79.05802012,医药制造
601678,滨化股份,0.3,0.27,4862376362,0.9599816,358813117.8,-16.74895109,139.2889,7.41,4.19338334,0.72585352,23.75690939,化工行业
2236,大华股份,0.63,0.6,13329094011,32.26150335,1825199448,33.00283,110.0091,24.8,2.84092536,0.16235609,37.70521446,安防设备
2145,中核钛白,0.05,0.06,2048165771,25.70031737,84090715.43,166.545099,5.0343,3.29,1.60885203,0.23113673,25.01226027,化工行业
600113,浙江东日,0.31,0.31,357993318.7,-63.78228221,99419510.27,7.52692862,-26.9577,19.03,1.79026396,0.49866138,53.47218368,房地产
871214,盛利维尔,0.11,0.08,680535920.2,-6.29146343,41888013.92,-14.55051168,"""-""",5.26,2.21,0.36231222,23.52298861,-
871172,临涣水务,0.17,0.17,109791714.5,-10.51549656,34096089.23,1.57840521,"""-""",15.3,1.2,0.40460093,58.24888725,-
870537,读行学堂,0.52,0.52,45066090.77,61.98784062,5944199.57,91.50900612,"""-""",42.16,1.3,-0.00145463,33.26479289,-
870197,小星科技,0.15,0.13,27810830.25,6.06294076,2937096.15,-13.37235752,"""-""",10.84,1.41,0.24876753,31.20945528,-
839646,极限网络,1.4063,2.5422,128134002.5,611.7244065,28529627.1,3627.609679,"""-""",116.32,2.2617,2.92868515,37.4975084,-
603103,横店影视,0.89,0.76,2280809351,7.93533928,356017869.6,3.38188948,"""-""",43.78,2.37793241,1.45021672,26.71287202,文化传媒
838927,国文股份,0.08,0.07,41859271.84,-9.8699845,3083195.3,-51.51431451,"""-""",6.91,1.46,-0.01406487,33.27043885,-
603305,旭升股份,0.57,0.55,569097181.7,62.25499272,203616404.7,152.9407904,16.5139,48.92,1.43819671,0.68922101,49.43023227,汽车行业
836281,鸿盛华,0.3,0.35,116233466,-0.32244318,7011589.74,90.33945086,"""-""",28.49,2.14,0.28779189,17.46999237,-
200992,中鲁B,0.2,0.177,845877519.5,16.87862842,52585070.74,333.1069158,258.9915,8.88,2.32141617,0.32861762,8.97908644,农牧饲渔
600284,浦东建设,0.5182,0.5066,2537631600,-19.7869027,359112257.8,-5.28686051,60.39,6.99,7.59695011,-0.1796341,15.09949241,工程建设
600071,凤凰光学,-0.49,-0.44,749552198.8,-6.68307679,-115396760.7,-681.6797837,-311.1236,-25.73,1.6428602,-0.10460417,4.6714871,文教休闲
603926,铁流股份,1.24,1.18,724045892.6,6.64156296,111896233.4,18.94178199,10.6997,24.65,5.54352748,0.99826992,35.143397,汽车行业
833387,湖北展朋,0.48,0.45,36170413.96,40.60176198,5797310.27,25.13829113,"""-""",21.77,2.46,0.94021226,33.23449359,-
833210,兆丰小贷,0.13,0.13,60176583.78,9.38786278,40153907.56,9.30323019,4.8619,10.35,1.28,0.13635307,"""-""",-
603903,中持股份,0.61,0.57,409142827.3,24.02303524,46751331.31,3.14204651,155.9283,11.4,5.64022557,1.27486135,27.01626953,环保工程
832753,杰易森,0.2817,0.2306,59071587.36,-33.79651134,9989741.22,-20.19776108,"""-""",10.29,2.89,0.3483757,45.21904444,-
832459,华澳能源,0.1298,0.1257,576470067.4,-1.29852869,23363339.46,94.73089995,"""-""",3.8,3.49,1.05834207,23.23736343,-
300450,先导智能,0.7124,0.7015,1078980824,101.2608017,290652083.5,99.6775015,137.6517,35.56,2.31390029,0.25785251,42.5553992,专用设备
603311,金海环境,0.34,0.32,488077176.4,16.57517233,70786834.2,36.78557688,-29.2856,11.39,3.14020761,0.38897105,34.35818891,专用设备
430570,蓝星科技,0.01,0.01,87076919.43,173.9107256,1792533.66,128.39598,"""-""",1.39,0.95,-0.06231075,26.29161739,-
2391,长青股份,0.4524,0.44,1832821360,0.65971053,162645909.7,-31.53519249,-0.2114,5.61,8.14307484,0.54015277,23.81359277,农药兽药
708,大冶特钢,0.651,0.648,6392686590,3.15473228,292680656.7,8.2427211,15.1753,8.13,8.28485123,1.75852644,12.61686818,钢铁行业
2014,永新股份,0.6,0.56,1904193777,2.99022012,202710560.3,6.67803936,-0.6802,12.31,5.14297875,0.8358389,23.32129948,包装材料
872635,志强远大,0.73,"""-""",10617350.52,997.505205,1453178.02,462.6723044,"""-""",920.64,1.44,0.03,48.23512872,-
871169,蓝耘科技,0.06,0.05,111483994.3,47.83080949,630569.91,-75.5179256,"""-""",4.27,1.47,0.17690162,14.27282064,-
870077,小狗电器,2.63,2.81,515685286,120.6880402,32769081.79,804.490599,"""-""",64.85,5.4,0.92800032,51.39980546,-
838285,瑞诚股份,0.17,0.16,363673805.5,15.38808328,13425138.84,24.55214945,"""-""",13.93,1.29,-0.9322305,13.35461322,-
836422,润普食品,0.08,0.08,158807325.7,-11.25957813,3339456.74,-31.939881,"""-""",5.54,1.6,-0.41204582,9.87195153,-
2877,智能自控,0.5,0.49,273628309.3,7.15998189,45742195.7,7.1455548,0.8846,15.27,3.52253597,0.41512581,42.80275224,仪器仪表
